DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Apr1991,0.66698,0.79501,1.1805,0.86862,0.59016,0.38019,0.66423,0.81028,0.66934,0.48937,0.61295,0.73472,0.64481,0.37244,0.03425,-0.03599,-0.15474,0.20789,-0.10756,-0.12102,-0.20323,-0.25818,-0.39535,-0.50939,-0.38432,-0.4046,-0.26464,-0.3477,-0.47137,-0.48479,-0.30492,-0.5309,-0.66614,-0.66084,-0.21038,-0.22991,0.2572,0.1457,0.05164,0.20147,0.26244,0.33616,0.46876,0.30779,0.15914,0.24604,0.10288,0.134
May1991,-0.33894,-0.0329,0.26612,0.75566,0.46915,0.28129,0.12065,0.4013,0.55301,0.39669,0.23392,0.39428,0.53855,0.43198,0.18458,-0.14456,-0.20734,-0.29003,0.06531,-0.25861,-0.26562,-0.32987,-0.38171,-0.50301,-0.60239,-0.46917,-0.48909,-0.34941,-0.43247,-0.55721,-0.57203,-0.40407,-0.61815,-0.739,-0.73244,-0.28684,-0.30113,0.17707,0.074,-0.01634,0.13398,0.1914,0.26876,0.39873,0.23914,0.09382,0.18005,0.0385
Jun1991,-0.46112,-0.5591,-0.26053,-0.04297,0.38005,0.16441,0.06288,-0.07123,0.19937,0.30735,0.18425,0.06037,0.22875,0.37112,0.26455,0.04564,-0.25376,-0.29869,-0.36588,-0.04189,-0.346,-0.34845,-0.4109,-0.46361,-0.5723,-0.66844,-0.54068,-0.56659,-0.43647,-0.51116,-0.63083,-0.64924,-0.49515,-0.69932,-0.80753,-0.79859,-0.36961,-0.37964,0.07733,-0.01816,-0.10682,0.03968,0.11146,0.19289,0.3164,0.16006,0.02245,0.1048
Jul1991,-0.46083,-0.6323,-0.69487,-0.42154,-0.19129,0.22518,0.02145,-0.05974,-0.17758,0.08981,0.20866,0.09466,-0.01594,0.1421,0.27449,0.18112,-0.02017,-0.29776,-0.33651,-0.40025,-0.09866,-0.38956,-0.39111,-0.44648,-0.49467,-0.59661,-0.68437,-0.5647,-0.58769,-0.46627,-0.53972,-0.64969,-0.66519,-0.51923,-0.71338,-0.81568,-0.80719,-0.39764,-0.40632,0.03489,-0.05445,-0.14058,0.00325,0.07223,0.15355,0.27324,0.12313,-0.01105
Aug1991,-1.46341,-1.20229,-1.13335,-1.08231,-0.86751,-0.61073,-0.21938,-0.35968,-0.39108,-0.49204,-0.26081,-0.13815,-0.22665,-0.31727,-0.14452,-0.00016,-0.08458,-0.25349,-0.51321,-0.54403,-0.58966,-0.2978,-0.59664,-0.58736,-0.62389,-0.66265,-0.74596,-0.82672,-0.7175,-0.7378,-0.62543,-0.69327,-0.78945,-0.80468,-0.66132,-0.84181,-0.93348,-0.92094,-0.52306,-0.53305,-0.10429,-0.19081,-0.27572,-0.13222,-0.0627,0.02288,0.13977,-0.00588
Sep1991,0.85881,-0.0597,-0.2498,-0.55924,-0.63653,-0.44083,-0.20982,0.15049,-0.00257,-0.07135,-0.17437,0.03679,0.13637,0.03365,-0.05736,0.09168,0.21191,0.12709,-0.04247,-0.30613,-0.34823,-0.40555,-0.11238,-0.39591,-0.38603,-0.44043,-0.48607,-0.57667,-0.66178,-0.55292,-0.57738,-0.46991,-0.5421,-0.63853,-0.65822,-0.50831,-0.68639,-0.78488,-0.77736,-0.38419,-0.39532,0.02166,-0.06558,-0.1466,-0.00997,0.05396,0.13213,0.24107
Oct1991,0.04473,0.48401,-0.08697,-0.24176,-0.51005,-0.61087,-0.45634,-0.2566,0.07465,-0.0748,-0.14559,-0.2263,-0.01793,0.08505,-0.01402,-0.10557,0.03918,0.16964,0.08125,-0.08576,-0.33759,-0.38662,-0.43932,-0.15769,-0.42477,-0.4138,-0.46507,-0.5054,-0.58788,-0.66909,-0.56952,-0.59064,-0.4848,-0.55281,-0.65424,-0.66775,-0.52597,-0.69952,-0.7942,-0.78751,-0.41515,-0.42226,-0.02381,-0.10845,-0.18451,-0.05372,0.00928,0.08954
Nov1991,0.76445,0.3101,0.65748,0.11279,-0.02368,-0.33685,-0.45042,-0.30995,-0.11965,0.20232,0.05132,-0.02212,-0.09923,0.09669,0.19995,0.09638,0.0033,0.12668,0.26021,0.1692,-0.00595,-0.26618,-0.31831,-0.37498,-0.09388,-0.35092,-0.34396,-0.3987,-0.44127,-0.52586,-0.60891,-0.50577,-0.5277,-0.4185,-0.49147,-0.60072,-0.61751,-0.47138,-0.64441,-0.74072,-0.73485,-0.3673,-0.37594,0.02101,-0.06372,-0.14027,-0.01068,0.04512
Dec1991,-0.06289,0.40548,0.17349,0.56884,-0.00702,-0.12718,-0.40621,-0.51184,-0.36871,-0.1821,0.14952,0.01062,-0.05475,-0.1304,0.06524,0.16564,0.06587,-0.02947,0.08066,0.21129,0.12643,-0.03567,-0.28698,-0.33587,-0.39045,-0.11268,-0.37185,-0.37467,-0.42671,-0.4654,-0.5481,-0.62942,-0.52678,-0.54499,-0.43981,-0.50889,-0.61698,-0.63046,-0.48916,-0.66066,-0.75502,-0.75074,-0.38541,-0.39297,0.00232,-0.08198,-0.15836,-0.03059
Jan1992,0.04574,-0.142,0.20283,0.08411,0.43489,-0.087,-0.17966,-0.45952,-0.56134,-0.4194,-0.23128,0.0928,-0.03827,-0.09087,-0.16269,0.02444,0.11063,0.0145,-0.07915,0.02902,0.15641,0.07429,-0.08392,-0.33161,-0.38005,-0.43782,-0.15602,-0.41705,-0.42413,-0.47663,-0.51685,-0.60379,-0.68613,-0.58345,-0.59434,-0.48448,-0.55618,-0.67077,-0.68139,-0.54113,-0.72042,-0.81669,-0.81577,-0.43903,-0.44667,-0.04421,-0.12889,-0.20687
Feb1992,-0.4951,-0.45168,-0.45055,-0.07468,-0.19878,0.24904,-0.25504,-0.35678,-0.60836,-0.6926,-0.55491,-0.36918,-0.03564,-0.16026,-0.20048,-0.26979,-0.07536,0.01431,-0.07759,-0.16594,-0.05235,0.07235,-0.01036,-0.16998,-0.41552,-0.46035,-0.51552,-0.23199,-0.48947,-0.48901,-0.53834,-0.57401,-0.65602,-0.73559,-0.63494,-0.64579,-0.53629,-0.60574,-0.71694,-0.7267,-0.58689,-0.76329,-0.85639,-0.85257,-0.47924,-0.48779,-0.08884,-0.17281
